kernel,backend,size,algorithm,trial,mean_best_ms,median_best_ms,std_best_ms,ci95_ms,min_best_ms,max_best_ms
matmul,cuda,2048,bayesian,12,1.9125423967838286,1.9234719574451447,0.19690084581996203,0.12204040861692596,1.678655982017517,2.2991360425949097
matmul,cuda,2048,bayesian,13,1.9050624012947082,1.8955519795417786,0.19459173416307418,0.12060920638427344,1.678655982017517,2.2991360425949097
matmul,cuda,2048,bayesian,14,1.8677807986736297,1.833767980337143,0.2000295878336754,0.12397962300790757,1.6741120219230652,2.2991360425949097
matmul,cuda,2048,bayesian,15,1.8542336046695709,1.7660320103168488,0.20318979181524122,0.1259383377285938,1.6741120219230652,2.2991360425949097
matmul,cuda,2048,bayesian,16,1.8214144110679626,1.7594720125198364,0.19668450405820506,0.12190631860377353,1.6741120219230652,2.2991360425949097
matmul,cuda,2048,bayesian,17,1.813216006755829,1.7474640011787415,0.1821502792658904,0.11289791274752752,1.6741120219230652,2.2411680221557617
matmul,cuda,2048,bayesian,18,1.8037008047103882,1.7193920016288757,0.1878785302698063,0.1164483195031055,1.6613759994506836,2.2411680221557617
matmul,cuda,2048,bayesian,19,1.780507206916809,1.7122640013694763,0.1383969796481478,0.08577933668731866,1.6613759994506836,2.0234880447387695
matmul,cuda,2048,bayesian,20,1.7734960079193116,1.7085279822349548,0.145207537193507,0.09000056398719886,1.6192800402641296,2.0234880447387695
matmul,cuda,2048,random,1,2.6958351790905,2.5807759761810303,0.925689181970971,0.5737480991996432,1.6862080097198486,4.618959903717041
matmul,cuda,2048,random,2,2.1740655958652497,2.0506080389022827,0.32318398858160396,0.20031151141428086,1.6862080097198486,2.612895965576172
matmul,cuda,2048,random,3,2.1567759931087496,2.0506080389022827,0.3025517855728038,0.1875235395019425,1.6862080097198486,2.612895965576172
matmul,cuda,2048,random,4,2.0567152082920073,1.9849519729614258,0.31251491802427295,0.1936987529725521,1.680832028388977,2.612895965576172
matmul,cuda,2048,random,5,1.9016975998878478,1.8976000249385834,0.21686247456277158,0.13441275429318245,1.680832028388977,2.376255989074707
matmul,cuda,2048,random,6,1.8340751945972442,1.8057599663734436,0.13793979865100037,0.08549597296954782,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,7,1.8315535962581635,1.8057599663734436,0.1360724349576584,0.08433856896133832,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,8,1.8315535962581635,1.8057599663734436,0.1360724349576584,0.08433856896133832,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,9,1.8277583956718444,1.7986399829387665,0.1379268871514942,0.08548797033924409,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,10,1.8277583956718444,1.7986399829387665,0.1379268871514942,0.08548797033924409,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,11,1.8277583956718444,1.7986399829387665,0.1379268871514942,0.08548797033924409,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,12,1.8277583956718444,1.7986399829387665,0.1379268871514942,0.08548797033924409,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,13,1.8277583956718444,1.7986399829387665,0.1379268871514942,0.08548797033924409,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,14,1.8277583956718444,1.7986399829387665,0.1379268871514942,0.08548797033924409,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,15,1.8277583956718444,1.7986399829387665,0.1379268871514942,0.08548797033924409,1.680832028388977,2.0478559732437134
matmul,cuda,2048,random,16,1.823092806339264,1.7986399829387665,0.13022878702781013,0.08071663845005844,1.680832028388977,2.0331679582595825
matmul,cuda,2048,random,17,1.823092806339264,1.7986399829387665,0.13022878702781013,0.08071663845005844,1.680832028388977,2.0331679582595825
matmul,cuda,2048,random,18,1.8004736006259918,1.762287974357605,0.1379283490193382,0.08548887641432103,1.6582559943199158,2.0331679582595825
matmul,cuda,2048,random,19,1.7877456068992614,1.7447919845581055,0.13544314798001147,0.08394853285169375,1.6582559943199158,2.0331679582595825
matmul,cuda,2048,random,20,1.7877456068992614,1.7447919845581055,0.13544314798001147,0.08394853285169375,1.6582559943199158,2.0331679582595825
matmul,sycl,4096,bayesian,1,64.19384288787842,64.26803016662598,0.23498807580624131,0.14564711833549396,63.868927001953125,64.46643447875977
